,Date,SPG_High_Prices,SPG_Low_Prices,SPG_Closed_Prices
59,2022-12-12,34.79,33.6,34.77
60,2022-12-09,33.82,33.162,33.8
61,2022-12-08,34.74,33.295,33.53
62,2022-12-07,35.65,34.295,34.33
63,2022-12-06,36.24,35.2,35.91
64,2022-12-05,36.875,35.68,35.79
65,2022-12-02,35.72,34.88,35.71
66,2022-12-01,35.74,35.105,35.38
67,2022-11-30,35.38,34.205,35.37
68,2022-11-29,34.725,33.88,34.61
69,2022-11-28,34.915,33.87,33.87
70,2022-11-25,35.394,34.3558,35.1
71,2022-11-23,34.86,34.2,34.49
72,2022-11-22,34.51,33.75,34.23
73,2022-11-21,34.69,34.05,34.23
74,2022-11-18,35.38,34.17,34.47
75,2022-11-17,34.13,33.3,34.06
76,2022-11-16,34.65,33.8902,34.12
77,2022-11-15,35.58,34.455,34.9
78,2022-11-14,35.49,34.6,34.69
79,2022-11-11,36.0,35.26,35.44
80,2022-11-10,35.83,34.305,35.49
81,2022-11-09,34.025,33.15,33.46
82,2022-11-08,33.9,33.1,33.59
83,2022-11-07,33.635,32.565,33.36
84,2022-11-04,33.22,32.16,32.76
85,2022-11-03,32.39,30.98,31.97
86,2022-11-02,33.38,32.03,32.06
87,2022-11-01,34.43,33.53,33.63
88,2022-10-31,34.93,33.89,33.93
89,2022-10-28,34.7499,33.7,34.67
90,2022-10-27,35.08,34.04,34.09
91,2022-10-26,34.6,33.7,33.9
92,2022-10-25,33.99,32.92,33.9
93,2022-10-24,33.415,32.58,33.27
94,2022-10-21,32.81,31.77,32.58
95,2022-10-20,33.095,32.11,32.15
96,2022-10-19,32.94,32.08,32.52
97,2022-10-18,32.19,31.3409,32.17
98,2022-10-17,32.12,30.72,31.13
99,2022-10-14,31.92,30.86,31.08
100,2022-10-13,31.02,28.52,30.38
101,2022-10-12,29.44,28.21,29.21
102,2022-10-11,30.76,28.37,28.84
103,2022-10-10,29.72,28.975,29.42
