,Date,DAL_High_Prices,DAL_Low_Prices,DAL_Closed_Prices
645,2020-08-14,68.45,65.17,68.18
646,2020-08-13,68.249,65.73,66.02
647,2020-08-12,68.94,65.62,67.83
648,2020-08-11,70.99,66.83,67.15
649,2020-08-10,69.1648,63.82,65.47
650,2020-08-07,62.54,60.51,62.19
651,2020-08-06,62.71,61.19,61.2
652,2020-08-05,64.58,62.27,62.5
653,2020-08-04,63.63,61.07,62.99
654,2020-08-03,61.79,59.91,61.03
655,2020-07-31,63.9,61.5,62.35
656,2020-07-30,64.6,62.6201,63.62
657,2020-07-29,65.63,62.65,65.59
658,2020-07-28,65.07,61.35,64.14
659,2020-07-27,61.98,59.03,61.96
660,2020-07-24,62.28,60.3,60.57
661,2020-07-23,62.69,60.61,61.8
662,2020-07-22,62.14,60.12,62.03
663,2020-07-21,62.38,60.39,60.95
664,2020-07-20,62.39,60.12,60.42
665,2020-07-17,63.56,62.08,62.4
666,2020-07-16,65.61,62.6,62.9
667,2020-07-15,66.72,63.83,66.59
668,2020-07-14,63.96,61.37,61.93
669,2020-07-13,65.14,62.2,63.69
670,2020-07-10,64.24,60.31,63.98
671,2020-07-09,64.4,59.87,61.02
672,2020-07-08,66.8,64.38,65.71
673,2020-07-07,67.66,65.56,65.93
674,2020-07-06,70.59,67.01,68.93
675,2020-07-02,72.96,68.68,68.81
676,2020-07-01,72.93,69.24,69.81
677,2020-06-30,71.5,67.57,68.38
678,2020-06-29,68.18,61.29,68.13
679,2020-06-26,64.69,61.45,61.9
680,2020-06-25,66.63,63.03,64.94
681,2020-06-24,68.17,62.66,65.11
682,2020-06-23,72.11,69.38,70.13
683,2020-06-22,68.84,65.09,68.55
684,2020-06-19,72.51,67.0,67.12
685,2020-06-18,72.45,68.58,70.96
686,2020-06-17,75.35,71.51,71.67
687,2020-06-16,81.29,74.59,75.52
688,2020-06-15,75.86,70.82,74.39
689,2020-06-12,78.21,72.82,75.98
690,2020-06-11,78.65,70.4,71.92
691,2020-06-10,87.56,78.0,83.01
692,2020-06-09,90.32,83.74,86.47
693,2020-06-08,95.56,89.13,95.5
694,2020-06-05,92.96,83.36,88.6
695,2020-06-04,77.85,69.64,76.73
696,2020-06-03,74.79,65.5,72.88
697,2020-06-02,64.49,62.44,63.45
698,2020-06-01,61.8,56.86,61.6
699,2020-05-29,59.38,56.36,57.7
700,2020-05-28,63.79,58.86,59.75
701,2020-05-27,63.3,59.43,63.19
702,2020-05-26,59.52,56.9,59.25
703,2020-05-22,56.4,53.88,54.59
704,2020-05-21,57.31,54.6,56.0
705,2020-05-20,59.36,54.96,55.67
706,2020-05-19,58.92,54.16,56.87
707,2020-05-18,57.71,54.78,56.91
708,2020-05-15,52.14,49.38,51.32
709,2020-05-14,53.49,47.25,51.55
710,2020-05-13,54.5,49.22,51.17
711,2020-05-12,60.54,54.5,54.54
712,2020-05-11,57.67,54.91,55.08
713,2020-05-08,60.5,57.81,58.02
714,2020-05-07,58.78,55.27,57.0
715,2020-05-06,61.86,55.25,55.74
716,2020-05-05,66.28,60.09,60.55
717,2020-05-04,63.51,59.4,63.01
718,2020-05-01,64.65,60.59,63.2
719,2020-04-30,68.64,63.26,66.77
720,2020-04-29,72.58,66.31,68.8
721,2020-04-28,65.66,58.73,63.33
722,2020-04-27,58.07,51.5,57.19
723,2020-04-24,53.64,48.63,51.49
724,2020-04-23,55.06,51.41,53.15
725,2020-04-22,55.15,51.5,52.46
726,2020-04-21,54.97,51.8,53.56
727,2020-04-20,57.0,52.24,53.83
728,2020-04-17,61.39,55.51,56.12
729,2020-04-16,62.34,52.11,53.1
730,2020-04-15,64.3,59.8,61.22
731,2020-04-14,69.4,65.68,67.75
732,2020-04-13,68.92,62.19,65.3
733,2020-04-09,74.17,65.91,68.17
734,2020-04-08,65.35,60.3,62.91
735,2020-04-07,64.34,59.0,60.88
736,2020-04-06,55.44,49.96,54.06
737,2020-04-03,47.12,44.19,46.72
738,2020-04-02,48.48,42.25,44.01
739,2020-04-01,51.33,46.0,47.04
740,2020-03-31,57.32,52.8,54.86
741,2020-03-30,58.0,54.81,56.27
742,2020-03-27,60.46,55.7,58.17
743,2020-03-26,65.49,58.4,62.1
744,2020-03-25,69.54,54.73,62.34
745,2020-03-24,57.18,52.56,54.73
746,2020-03-23,52.12,46.05,50.16
747,2020-03-20,63.41,46.16,48.14
748,2020-03-19,59.5,45.5,55.74
749,2020-03-18,55.54,43.52,44.92
750,2020-03-17,67.47,53.96,58.86
751,2020-03-16,78.89,65.32,65.79
752,2020-03-13,91.27,81.6,89.77
753,2020-03-12,95.74,82.76,83.49
754,2020-03-11,109.55,100.0,101.5
755,2020-03-10,112.49,102.78,111.44
756,2020-03-09,112.53,103.0,103.04
757,2020-03-06,119.69,115.05,119.06
758,2020-03-05,121.43,117.6,119.9
759,2020-03-04,124.44,120.09,123.49
760,2020-03-03,130.3,121.14,122.47
761,2020-03-02,127.33,120.35,127.22
762,2020-02-28,125.89,119.91,123.08
763,2020-02-27,132.54,125.02,125.8
764,2020-02-26,137.37,132.2,132.23
765,2020-02-25,141.04,134.81,135.28
766,2020-02-24,141.05,139.37,140.78
767,2020-02-21,142.77,139.85,142.25
768,2020-02-20,140.54,136.65,140.53
769,2020-02-19,138.87,135.42,137.01
770,2020-02-18,139.58,137.85,139.17
771,2020-02-14,139.27,137.87,138.92
772,2020-02-13,140.04,136.51,138.66
773,2020-02-12,142.48,137.98,139.17
774,2020-02-11,144.3,139.87,142.08
775,2020-02-10,143.1,139.83,143.06
776,2020-02-07,141.04,139.29,141.02
777,2020-02-06,142.64,140.02,140.86
778,2020-02-05,140.63,137.25,140.47
779,2020-02-04,139.24,130.01,137.29
780,2020-02-03,135.8,132.53,132.8
781,2020-01-31,136.22,132.86,133.15
782,2020-01-30,139.94,136.1,136.45
783,2020-01-29,141.37,139.81,140.03
784,2020-01-28,142.37,139.95,139.99
785,2020-01-27,143.91,141.63,141.63
786,2020-01-24,147.8,144.64,144.82
787,2020-01-23,147.31,144.42,147.25
788,2020-01-22,149.65,145.94,146.01
